TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLLATION,NULLABLE,DEFINITION
DeadMessages,"""SERVER""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SERVER VARCHAR(8000) COLLATE en-ci NULL
DeadMessages,"""MESSAGE_ID""","""VARCHAR(36)""","""""","""NOT NULL""",MESSAGE_ID VARCHAR(36)  NOT NULL
DeadMessages,"""TYPE""","""SMALLINT""","""""","""NULL""",TYPE SMALLINT  NULL
DeadMessages,"""NUM_EXCEPTIONS""","""INT""","""""","""NOT NULL""",NUM_EXCEPTIONS INT  NOT NULL
DeadMessages,"""DELIVERY_STATUS_KEY""","""INT""","""""","""NULL""",DELIVERY_STATUS_KEY INT  NULL
DeadMessages,"""IN_REPLY_TO_MESSAGE_KEY""","""BIGINT""","""""","""NULL""",IN_REPLY_TO_MESSAGE_KEY BIGINT  NULL
DeadMessages,"""DIRECTION""","""SMALLINT""","""""","""NOT NULL""",DIRECTION SMALLINT  NOT NULL
DeadMessages,"""SEND_AFTER""","""TIMESTAMP_LTZ""","""""","""NULL""",SEND_AFTER TIMESTAMP_LTZ  NULL
DeadMessages,"""SEND_AFTER_MESSAGE_KEY""","""BIGINT""","""""","""NULL""",SEND_AFTER_MESSAGE_KEY BIGINT  NULL
DeadMessages,"""IS_FINISHED""","""BOOLEAN""","""""","""NOT NULL""",IS_FINISHED BOOLEAN  NOT NULL
ContactType,"""CONTACT_TYPE_KEY""","""SMALLINT""","""""","""NOT NULL""",CONTACT_TYPE_KEY SMALLINT  NOT NULL
ContactType,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NOT NULL
ApprovalRequest,"""APPROVAL_REQUEST_KEY""","""INT""","""""","""NOT NULL""",APPROVAL_REQUEST_KEY INT  NOT NULL
ApprovalRequest,"""STATUS""","""INT""","""""","""NOT NULL""",STATUS INT  NOT NULL
ApprovalRequest,"""ENTERED_AT""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",ENTERED_AT TIMESTAMP_LTZ  NOT NULL
ApprovalRequest,"""PACKAGE_KEY""","""INT""","""""","""NOT NULL""",PACKAGE_KEY INT  NOT NULL
ApprovalRequest,"""REQUESTED_BY""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",REQUESTED_BY VARCHAR(8000) COLLATE en-ci NOT NULL
ApprovalRequest,"""PROCESSED_BY""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",PROCESSED_BY VARCHAR(8000) COLLATE en-ci NULL
ApprovalRequest,"""COMMIT_MESSAGE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",COMMIT_MESSAGE VARCHAR(8000) COLLATE en-ci NULL
ApprovalRequest,"""PROCESSED_AT""","""TIMESTAMP_LTZ""","""""","""NULL""",PROCESSED_AT TIMESTAMP_LTZ  NULL
MessageContactType,"""MESSAGE_CONTACT_TYPE_KEY""","""INT""","""""","""NOT NULL""",MESSAGE_CONTACT_TYPE_KEY INT  NOT NULL
MessageContactType,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NOT NULL
ApprovalRequestItem,"""APPROVAL_REQUEST_ITEM_KEY""","""INT""","""""","""NOT NULL""",APPROVAL_REQUEST_ITEM_KEY INT  NOT NULL
ApprovalRequestItem,"""APPROVAL_REQUEST_KEY""","""INT""","""""","""NOT NULL""",APPROVAL_REQUEST_KEY INT  NOT NULL
ApprovalRequestItem,"""TEMPLATE_KEY""","""INT""","""""","""NOT NULL""",TEMPLATE_KEY INT  NOT NULL
